	TRU	Proximal-proliferative	Proximal-inflammatory
CYP4B1	2.124792444	-0.496614353	-1.190480915
TOP2A	-0.987734165	0.662721781	0.727753027
MTHFD2	-0.838036462	0.488967068	0.365443962
CCNB1	-1.023216799	0.530705813	0.542098415
RRM2	-1.237663454	0.469476517	0.802149465
PRC1	-1.061865773	0.542792591	0.507554719
ASPM	-0.822571753	0.611099523	0.711797883
SFTPC	1.709784491	-1.030310655	-1.525992164
CTSH	0.99414417	-0.519559808	-0.467720973
MAD2L1	-0.663274465	0.504068568	0.633932557
CEP55	-0.689129827	0.626299211	0.702142909
ZWINT	-0.825380874	0.489143342	0.394002398
MELK	-0.737010586	0.363067993	0.594287843
ECT2	-0.760729818	0.67048901	0.413101626
ADH1B	1.040607138	-0.341573402	-0.378436716
C1orf116	1.061764541	-0.506512303	-0.51563048
BUB1B	-0.658453621	0.438659563	0.543092251
HSD17B6	1.157857898	-0.228289815	-0.179589025
RNASE1	0.966521707	-0.745784913	-0.341773406
RACGAP1	-0.700576447	0.406750376	0.382148014
CKS2	-0.927162769	0.399488296	0.492097845
PLOD2	-1.010948238	0.389577841	0.888311352
GPR116	1.161361774	-0.471185931	-0.467457877
SFTPD	1.089120677	-0.515165169	-0.840922055
MLF1IP	-0.766155922	0.396520033	0.730143205
SCGB1A1	2.709663507	-0.674866452	-1.246437051
CDKN3	-0.711188603	0.448702282	0.781515247
MCM6	-0.69055726	0.302809244	0.500574742
TPX2	-0.761175506	0.42290435	0.731929753
FOLR1	1.070846396	-0.537040961	-1.131251398
GGH	-0.695659076	0.44064916	0.517369268
KIF4A	-0.733949327	0.350057872	0.692854299
PBK	-0.434503373	0.588151896	0.281823043
PAICS	-0.637747896	0.332865528	0.307727077
UBE2S	-0.691618188	0.511776844	0.509587194
CDC2	-0.699117415	0.37751738	0.36351427
SELENBP1	0.831179509	-0.283690771	-1.063755463
DLG7	-0.491586477	0.475646362	0.549853758
PIGR	0.74486167	-0.262644125	-0.344261739
TMPRSS2	0.74884364	-0.347442509	-0.661627683
CDC20	-0.954278674	0.407265348	0.796977243
FIGF	0.785306742	-0.177727633	-0.322183112
TYMS	-0.662028888	0.368518753	0.679070496
MFAP4	0.880476772	-0.492693294	0.035452019
CCNB2	-0.57127454	0.400673255	0.501774993
TRIP13	-0.59932248	0.455069103	0.456385185
SCTR	0.636707706	-0.16831301	-0.244162927
GCH1	-0.727424003	0.424868283	0.356269988
FMO2	0.73095032	-0.341659859	-0.4119705
AQP1	1.053831389	-0.451089183	-0.399433946
PSMD14	-0.596190477	0.19332873	0.199313025
DSP	-0.910640225	0.580911315	0.015652905
CACNA2D2	1.143993751	-0.254825788	-1.187439912
C7	0.984778399	-0.49194794	-0.193709662
CRYM	0.765209809	-0.094998067	-0.649281941
PLLP	0.750131962	-0.297554955	-0.463459226
RFC4	-0.565663582	0.335790097	0.618180596
SLC34A2	0.660979163	-0.474536305	-0.511412299
TPPP3	0.699112568	-0.27079623	-0.344123384
C4orf31	0.837455608	-0.601690238	-0.581437899
GREM1	-1.177484295	0.111908028	1.339008294
C4BPA	0.857249079	-0.271642935	-1.193997194
MRPL42	-0.522090052	0.335156977	0.182294093
DTL	-0.638726498	0.224596255	0.348752103
CEBPA	0.717667118	-0.377897969	-0.170804557
UCK2	-0.6833526	0.44398586	0.192953507
HLA-DMA	0.563297283	-0.785616091	0.137595534
SULF1	-0.800012743	0.124968808	0.920357521
HSPD1	-0.424820678	0.380486485	0.07779578
PFN2	-0.893786482	0.686624753	0.371064285
HMGB2	-0.651947405	0.308874068	0.375998611
GINS1	-0.622106216	0.581581073	0.256661973
SLC7A5	-0.648235639	0.424165563	0.175073096
KPNA2	-0.60001017	0.278410801	0.239259598
CFD	0.755612887	-0.465630486	0.056669062
CYP24A1	-0.504436822	1.124778507	0.303993253
GGTLA4	0.685747464	-0.255249737	-0.567998151
HLA-DQB1	0.634558891	-0.893059109	0.365848046
UBE2C	-0.897599365	0.291946702	0.636152057
CENPF	-0.399546775	0.329072924	0.335292792
TDG	-0.380757176	0.503468422	0.061627218
PTGDS	0.679674887	-0.626067247	0.070721331
NCAPG2	-0.514210469	0.247740109	0.389477084
NUSAP1	-0.571938033	0.325174605	0.284685971
MGP	0.709431346	-0.464166387	-0.174369914
RAN	-0.497830218	0.370364235	0.231623882
TARS	-0.5325375	0.270945804	0.160657539
CKS1B	-0.552877442	0.337683906	0.264850472
PCNA	-0.568482913	0.286072111	0.307567121
H2AFZ	-0.480278699	0.227037487	0.405905166
SNRPD1	-0.485003722	0.29491265	0.221877177
WDR12	-0.441562968	0.261418665	0.145855597
FCGBP	0.736861069	-0.436744666	-0.166352829
FOXM1	-0.595234354	0.39434394	0.364512286
HLA-DPB1	0.481763379	-0.715339538	0.211295092
KIF11	-0.35888535	0.407239112	0.266614945
XPOT	-0.584947366	0.400752472	0.188577991
DNAJC10	-0.450674488	0.381307621	0.079991375
CLEC3B	0.604155376	-0.220169617	-0.317843437
DNAJC9	-0.464102111	0.261544	0.335635695
EZH2	-0.353301902	0.391231036	0.334990727
KIF14	-0.377782957	0.261531996	0.320134137
CLDN18	0.650509621	-0.109295848	-0.277331346
PBEF1	-0.523776396	0.311170213	0.477234255
GTPBP4	-0.350728012	0.341252505	0.188369745
RAD51AP1	-0.357366648	0.270353725	0.336994074
SLC27A3	0.527759933	-0.193118245	-0.299445533
CCNA2	-0.368314695	0.26623281	0.602113955
EMP2	0.501177719	-0.258230255	-0.436469311
MGLL	0.399893701	-0.367282491	-0.309794643
MRPL13	-0.576798925	0.408382722	0.24911475
ABCA3	0.795255501	-0.258379273	-0.819168124
MMP12	-0.940875044	0.297038112	1.292863945
TPRKB	-0.528075002	0.267070442	0.276550595
HLTF	-0.490209607	0.359408647	0.282605771
TTK	-0.32340534	0.304832535	0.309679763
CYP2B7P1	0.82001843	-0.21670191	-1.04468437
CAPN3	0.48959342	-0.195692773	-0.146055223
HSPE1	-0.451809468	0.313310874	0.056918554
LTBP2	0.639664999	-0.489661621	0.108491801
GNL3	-0.548536274	0.261060704	0.061060709
RRAD	0.680050118	-0.366178329	0.000685599
BZW1	-0.452680404	0.204947547	0.235136407
HAT1	-0.604765998	0.23256123	0.438460447
PFKP	-0.609535207	0.268234026	0.566940593
DUSP4	-0.553391565	1.233955916	-0.195158419
KIF20A	-0.448893869	0.307578329	0.279854388
GCLM	-0.429017121	0.310879946	0.306141056
KCNJ15	0.873462975	-0.25028328	-0.341768878
POSTN	-0.755579248	0.058312199	1.05404245
TXNRD1	-0.524091299	0.573232901	0.207042561
EEF1E1	-0.459977943	0.279255437	0.095357867
COL11A1	-1.42069994	0.14854119	1.171324893
HIG2	-0.432362997	0.266108402	0.416895554
CX3CR1	0.45723988	-0.238769021	-0.099675226
FKBP3	-0.412146091	0.312709471	0.060104332
NUP155	-0.417933247	0.351057603	0.404741822
GOLT1B	-0.553188055	0.177832574	0.280846238
YES1	-0.518507185	0.257512684	0.067413744
FXYD1	0.501300208	-0.205238285	-0.088157803
HLA-DRB1	0.389651978	-0.667924996	0.136465783
RTCD1	-0.578386255	0.157912046	0.444866964
NUP37	-0.387617672	0.250915664	0.25986234
SNRPG	-0.424910783	0.257631096	0.185595942
HOXD1	1.030372282	-0.365449111	-0.299990625
DMBT1	0.780255603	-0.269883014	-0.506465826
OLA1	-0.4161184	0.246622158	0.090268132
FOXA2	0.585271091	-0.245122189	-0.72408318
AUTS2	0.569132086	-0.565476883	-0.684287085
VCAN	-0.812664078	0.194713582	0.801306472
DKFZp762E1312	-0.540432686	0.188574226	0.307894501
ZC3H15	-0.371195482	0.18810741	0.135449971
DBF4	-0.313756723	0.193956303	0.36756105
MSH2	-0.473898138	0.451477787	0.350549936
MEMO1	-0.350790252	0.299920115	0.114235537
NRAS	-0.4622236	0.24938919	0.37220572
NME1	-0.494185528	0.304191666	0.167113058
FBLN5	0.428552584	-0.293619281	-0.235668682
CBX7	0.4491219	-0.302461515	-0.10289978
HBA2	0.614908983	-0.360387663	-0.475489673
STEAP1	-0.687073177	0.026334131	1.04338047
DARC	0.554681237	-0.275857176	-0.072430001
MRPL15	-0.466067374	0.310535825	0.309638918
TOPBP1	-0.429121957	0.266339269	0.325765589
DNM1L	-0.397662463	0.262384482	0.259818654
LEPREL1	0.760625603	-0.343206091	-0.35245013
IARS	-0.393382901	0.190496761	0.172328221
KIAA0101	-0.436586969	0.347813947	0.155482549
HMGB3	-0.468088482	0.819180541	-0.301608967
KIF2A	-0.399855886	0.179439762	0.472521329
PUS7	-0.472537693	0.227448063	0.156330006
CSE1L	-0.364201924	0.228993175	0.142069259
SEC23A	-0.379222959	0.192468711	0.401080414
HLA-DPA1	0.403068722	-0.77024196	0.242956516
IL8	-0.481910413	0.31138579	0.969819629
CLU	0.64860887	-0.405613622	-0.545223693
A2M	0.606847626	-0.27841136	-0.10385859
UBE2V2	-0.401306963	0.336715969	0.17048597
ABCE1	-0.353031807	0.20123295	0.301536171
LRPPRC	-0.394750752	0.315232204	0.022321374
FBP1	0.524699978	-0.415564332	-0.134746725
PTS	-0.41291708	0.288891953	0.090465944
TXNIP	0.416227525	-0.356383078	-0.136467251
SYNPO	0.431385307	-0.355985843	0.045101973
SLC39A14	-0.585181179	0.245616293	0.41809329
DRAM	0.59969725	-0.261288815	-0.215744962
MRPL3	-0.429487891	0.225427424	0.173089444
FANCI	-0.349156154	0.308443365	0.268427344
NDUFS1	-0.443569909	0.359023449	0.061648285
VRK1	-0.314973757	0.278290485	0.342426685
CPA3	0.774134891	-0.664420289	0.429420409
HMMR	-0.284140393	0.245540805	0.304897942
AGPS	-0.361591381	0.288546638	0.287616533
COL5A2	-0.769095658	0.029043122	0.852046579
AOC3	0.482458941	-0.231678193	-0.010900666
CYCS	-0.420117891	0.23047386	0.128402119
PMAIP1	-0.548796975	0.048367942	0.976882264
KNTC1	-0.351744998	0.244420369	0.303849615
NPC2	0.385376241	-0.525326224	-0.087262512
HLF	0.506737044	-0.150481615	-0.216272985
CD1C	0.456126938	-0.233646363	-0.152599512
ATAD4	0.52362956	-0.220483707	-0.8818468
TSPAN4	0.388112169	-0.40171692	0.04510627
GTF3C3	-0.396991595	0.228124152	0.13200516
SLC39A6	-0.465260254	0.263561179	0.114085374
LAMP3	0.668698409	-0.467428419	-0.239140962
PRKDC	-0.509805915	0.259960633	0.115830389
VIPR1	0.426390677	-0.150561127	-0.285179416
CHORDC1	-0.33511073	0.269624641	0.119684691
VRK2	-0.354436202	0.128620959	0.385179936
ODC1	-0.388620377	0.977673222	-0.186328245
CD74	0.403541567	-0.568282977	0.242253854
HLA-DRA	0.42133039	-0.647244205	0.221336074
HLA-DMB	0.431613043	-0.559055268	0.373850866
