	S1	S2	S3
IQGAP1	0.309976369948583	0.470371432172526	-0.227219910575961
S100A11	0.341963563859583	1.08017259883235	-0.579011615346507
RAB31	0.559602725736653	0.494882082493314	-0.365556131006672
CD37	0.373378249397552	0.429358435634846	-0.555964098526623
POSTN	0.730001869542728	1.04029917160315	-0.61749898522551
ARHGDIB	0.248273969293828	0.382224469011215	-0.410735152188134
ALOX5AP	0.402995997082594	0.63063927598418	-0.54030429532675
LAPTM5	0.327971090864589	0.578714546459845	-0.570237114412232
ARPC2	-0.0270200807893287	0.37592980130825	-0.169752100775727
IFI30	0.0717663326865331	0.469165056553986	-0.430098626362194
COL1A2	1.02180069612973	0.616138630330287	-0.757425543491009
GPNMB	0.377634563476082	0.510644963004836	-0.542540201166196
ANXA1	0.436746318080726	0.26470519895088	-0.24102511749593
LUM	1.89109374727005	0.295525408378238	-1.01573948715907
CDK2AP1	-0.0973770022069105	0.187744332631198	-0.173594268038008
LHFPL2	0.0737294947400669	0.546292169248773	-0.487539173024442
LSP1	0.258503119645501	0.515237253009298	-0.459650980679318
CTSC	-0.0651555936708704	0.508202609843154	-0.364126514815907
LCP1	0.144668270161409	0.357734561004161	-0.274329994417164
IER3	0.524627662154396	0.618493934385883	-1.04260497658987
PTPRC	0.233981078787367	0.389556734263216	-0.165100989943381
COL3A1	1.32600734780468	0.7466723035708	-0.458274400739838
MSN	0.245040186089067	0.190237623416874	-0.0940396035064567
SLA	0.48580243635476	0.402014693184637	-0.290461305991025
IL2RG	0.249832642426796	0.744085559234405	-0.814660332591172
COL4A2	0.600400441618158	0.401040379569026	-0.184528270589772
GEM	1.19207547786925	0.28595532766509	-0.335311907490828
PLP2	0.0870861734047895	0.69946390127944	-0.625806522796311
ARPC1B	0.198398181248453	0.496467657360998	-0.551810636768269
CYP1B1	0.0488098044529101	0.00398926563365455	0.350052031766771
MGP	1.10897090893773	0.432324812303204	-0.696500020941093
ANXA5	0.0941688113243882	0.420003183663973	-0.449905394011597
DAB2	0.498164741497698	0.491100230332278	-0.205444380027306
TAX1BP3	0.398561240168063	0.572582968218042	-0.600011869305074
C3AR1	0.39913018803084	0.341599165680786	-0.333693759585227
CCL5	0.451348217175888	0.503027597277255	-0.385202904830353
PYGB	-0.0382119758879952	0.390466632233803	-0.122204715215459
TPM2	0.411940938831207	0.38553248698303	-0.50787667511864
COL4A1	0.357091015974458	0.255516051590399	-0.178954254093959
CBFB	-0.0821977892738346	0.207159729059093	-0.202787492754875
THY1	0.713841296045895	0.354531332779468	-0.44829928215034
ALDOA	0.266704976449827	0.876112642923919	-0.238840542602633
ITPR3	0.0655600562241719	0.977081941523494	-0.292707030215837
BLVRA	-0.0373259248847823	0.326705894075221	-0.753458804569215
HK1	0.495809204111614	0.300000732611837	-0.0830956811753646
CD53	0.377563708073903	0.548574813209003	-0.441955036689984
HLA-DQB1	0.564713341959319	0.533278376775052	-0.586960449234015
CORO1A	0.340073422758421	0.572454787455934	-0.574343689971334
PLAUR	0.518226960934036	0.770083893052786	-0.482336893898578
TIMP2	0.645593265572292	0.500087743382552	-0.464921086897932
OAZ1	0.0387256158369058	0.33426631560802	-0.187653306018244
HLA-DPB1	0.382613046915462	0.501821468242612	-0.644346831020335
IL7R	0.755783346785991	0.327615347151604	-0.139699301716683
BCL2A1	0.339600322425754	0.668812703502818	-0.308688187841035
TRAF3	-0.260251637224811	0.133994276723116	-0.0445070952471991
LAMB1	0.242931507149672	0.449045080588647	-0.45565839134803
NCF1	0.301561510115687	0.577254162313996	-0.41823306878136
LTBP2	0.896428527243782	0.203808424075494	-0.433417492846225
CDH11	0.767331535478711	0.486547979962674	-0.294070265443554
SLC1A5	0.285351026353698	1.02035556937777	-0.672940181375846
KLF5	-0.00915803255684033	0.549466680429615	-0.155849423699536
LDHB	0.546189268198381	0.431018498369737	-0.224643688539135
COL15A1	0.472859756340219	-0.0337279194302001	-0.178399057665845
TCF4	0.461264037507128	-0.0277353139521632	0.00848402455733489
CD47	-0.0489512348315448	0.15291932173563	-0.0677873949201432
CTGF	0.701434067430569	0.284810453133654	-0.333506422705001
ID3	0.721622124529573	0.141632924514127	-0.287098083709298
IGLL1	0.10860967273929	0.0998342857794991	0.0804758832985266
KIAA0101	-1.10919339367992	0.588191940381967	-0.252605065682965
FBN1	0.867509073978075	0.120838806729075	-0.160257920260337
ADAM8	-0.00260697786617441	0.325958421232341	-0.274049139899571
HIF1A	0.138575910377631	0.454523938635395	-0.114140527427844
TRAF5	-0.114338451298831	0.290977402149164	-0.379435109468783
COL6A1	0.789976155369969	0.016934491262164	-0.526027414197427
ACTA2	0.443121895152042	0.100453821828272	-0.237170533858163
LGALS1	0.316466066606267	0.518272905568433	-0.349232753118
TSPAN3	-0.0443047549904175	0.342251510823137	-0.227317721910001
PFN1	-0.0152675591222184	0.400644512378216	-0.326849817671625
