	log2.quantNorm.TPM.centroid
IQGAP1	4.12226602358106
S100A11	6.80446147991564
RAB31	2.92699851849876
CD37	3.54832071120728
POSTN	2.79304603365071
ARHGDIB	6.22311725788441
ALOX5AP	3.07005248797954
LAPTM5	5.61722236080013
ARPC2	6.77669226655124
IFI30	7.57550596803299
COL1A2	5.54424827661353
GPNMB	4.72077040822496
ANXA1	4.83629076315397
LUM	4.16160959424234
CDK2AP1	5.76766644991236
LHFPL2	2.64359324907059
LSP1	4.4550161236293
CTSC	5.70551047015976
LCP1	5.2419598948354
IER3	5.50521291966289
PTPRC	2.65216843595202
COL3A1	5.35247464658142
MSN	6.01503117474314
SLA	2.69665044612076
IL2RG	4.40888641385237
COL4A2	5.53470783087628
GEM	2.75401307088794
PLP2	5.67499924529573
ARPC1B	6.84330679399061
CYP1B1	2.77566416231451
MGP	6.07234873090032
ANXA5	7.10540046479426
DAB2	4.01894479011186
TAX1BP3	5.5939291803768
C3AR1	2.94015941950568
CCL5	4.45036602214997
PYGB	4.88121529764569
TPM2	5.49207301041177
COL4A1	5.48715445015347
CBFB	3.88888836332881
THY1	5.42319727879488
ALDOA	7.88457166995284
ITPR3	1.57987959873064
BLVRA	5.13464193824175
HK1	3.36669219621943
CD53	4.07742246997187
HLA-DQB1	5.5498927649701
CORO1A	4.57838748622166
PLAUR	3.02542043126073
TIMP2	5.11333086121339
OAZ1	8.57892286750644
HLA-DPB1	6.69536193907977
IL7R	1.14052019066282
BCL2A1	2.18594359268139
TRAF3	2.9155738655221
LAMB1	5.00100187425673
NCF1	2.25062207593408
LTBP2	2.7820895850218
CDH11	1.98259864417696
SLC1A5	4.09149843508298
KLF5	2.32197108655901
LDHB	5.01654802207923
COL15A1	3.11958742135896
TCF4	2.61727050331434
CD47	4.15379723102795
CTGF	5.31152164311095
ID3	4.80862084663501
IGLL1	0.0239278144075364
KIAA0101	3.54832071120728
FBN1	2.81172132257205
ADAM8	2.29781884511619
HIF1A	4.65040901043969
TRAF5	2.3656617459387
