	Proximal Inflammatory	Proximal Proliferative	TRU
CYP4B1	-1.29044717548321	-0.275128841686252	1.76748666200865
TOP2A	0.417887952905404	0.288595100877201	-1.1103479865508
MTHFD2	0.214860185811155	0.577952022897597	-0.601537964973974
CCNB1	0.445822246936501	0.490886715354961	-0.962764277233019
RRM2	0.463231138033136	0.279700539976921	-1.0057674620169
PRC1	0.269014382327923	0.436803930605117	-0.894579526992552
ASPM	0.374418066092249	0.395646737038302	-0.932176201024328
SFTPC	-2.00471497620323	-2.23429772932096	1.26770170478215
CTSH	-0.22043246819557	-0.462359186657201	1.1337287261207
MAD2L1	0.503177457291374	0.432192754293525	-0.820706425630584
CEP55	0.539489575579146	0.339902643035791	-1.11214542720106
ZWINT	0.226739521988106	0.338183509224342	-0.860382736452005
MELK	0.469823636167963	0.225996918804958	-1.21043869812585
ECT2	0.25873649273087	0.607965668792648	-0.553473301536815
ADH1B	-0.888223614066525	-0.732841424619293	1.51007344335258
BUB1B	0.35668139355234	0.423506472756178	-0.919568150509965
HSD17B6	-0.176513392298598	-0.27872642815478	1.40794217848845
RNASE1	-0.194136931633372	-0.62732335114421	1.15172918385918
RACGAP1	0.380173812525121	0.479986514876966	-0.637598037020205
CKS2	0.295381347509354	0.266077910318002	-0.543854055226613
PLOD2	0.463528576920048	0.0485735795429063	-0.801912173183328
GPR116	-0.256585405199842	-0.688316529117063	1.01849584380609
SFTPD	-1.35458002667326	-0.721153012102066	1.17050844011561
MLF1IP	0.456350387096919	0.277476841384663	-0.649285970409816
SCGB1A1	-0.860632958544696	-1.1543378643384	1.9296840351886
CDKN3	0.535864517895353	0.512294166474035	-1.11632124682261
MCM6	0.394687914636173	0.0864651757546697	-0.531383498228924
TPX2	0.446498135028585	0.205181849280895	-1.3130017743601
FOLR1	-1.24744940325432	-0.60982880928445	1.23504266266334
GGH	0.422637795775269	0.450985600797107	-0.780012648102102
KIF4A	0.471884437954646	0.368750807688485	-1.01733219101111
PBK	0.267802887682678	0.950714734034979	-0.886954083317353
PAICS	0.214568981261028	0.323901663550599	-0.315457740482699
UBE2S	0.274814991465947	0.259802211305126	-0.804863722741536
SELENBP1	-1.01568036042768	-0.267847299220083	0.771717314781743
PIGR	-0.92102673159852	-0.972495585333362	1.767367734233
TMPRSS2	-0.533619845333946	-0.522727666035819	0.923157991266818
CDC20	0.5688714659957	0.24826297941445	-1.13615826063687
FIGF	-0.252565423574405	0.0158389035927042	1.26115734018708
TYMS	0.416307897107915	0.162439164761085	-0.687806943090378
MFAP4	-0.349562725083436	-0.832763306977302	0.796722767263666
CCNB2	0.384726923371873	0.3808376458379	-1.07024410651188
TRIP13	0.537071168327639	0.137996177987263	-1.00601796167559
SCTR	-0.711249175845086	-0.717767931809016	1.5789382598536
GCH1	0.0720091431836127	0.482392762546306	-0.323108762234331
FMO2	-0.025719902481945	-0.366351426387864	0.484867232070135
AQP1	0.308589184317852	-0.604430189685106	1.23102138512376
PSMD14	0.115800697440752	0.381597735725018	-0.198628754161596
DSP	-0.189185002786241	0.230414505846913	-0.674397357817895
CACNA2D2	-1.39311694586646	0.199654298009235	1.29159286161105
C7	-0.556675515344134	-0.744087723054514	1.129118061774
CRYM	-0.769899628471758	0.109740532265255	1.34947176314838
PLLP	-0.249760359850093	-0.530292890083667	1.00115059569605
RFC4	0.285948563370513	0.19532277486746	-0.57016672213889
SLC34A2	-0.441743550831979	-1.56859933247864	0.82912547545109
TPPP3	-0.371442555787756	-0.118440393514066	0.876969628691525
GREM1	0.991331103128797	-0.234318520036874	-0.991040408248259
C4BPA	-1.3579168441135	-0.069023554949153	1.1856633764621
MRPL42	0.0918301571465454	0.49871536860787	-0.194654214928639
DTL	0.354718116238061	0.242695137467692	-0.65695427889832
CEBPA	-0.348599867517214	-0.275886326324875	0.683770500591662
UCK2	0.0167488273858245	0.645169774612942	-0.835797549321449
HLA-DMA	-0.124586909760664	-1.02281086109588	0.508354387941986
SULF1	0.653441653933195	-0.161648100563399	-0.760575405176591
HSPD1	0.0251095774825811	0.482718282086471	-0.27612545254977
PFN2	-0.0735466164155928	0.75076646083904	-0.969752462288806
HMGB2	0.293841885243968	0.109192629527453	-0.374932404325365
GINS1	0.399266316501517	0.463453905696085	-0.673552418978235
SLC7A5	-0.112807142540941	0.310044823602588	-0.493543614437754
KPNA2	0.404436295427006	0.151456493624271	-0.802466788108135
CFD	-0.233615954046743	-0.465644373334132	0.320072188969887
CYP24A1	0.206865679653373	1.7112668515921	-0.813457133349924
HLA-DQB1	0.0235950254529471	-1.21357947048837	0.451199815561409
UBE2C	0.552012947599702	0.0618650654592599	-1.55314387164308
CENPF	0.300551568419379	0.361937977299779	-0.937958540373617
TDG	0.0440110865708477	0.551773744885154	-0.267519364325036
PTGDS	-0.432810197890511	-0.892041619336163	0.528000244513178
NCAPG2	0.287028839828105	0.182813358553631	-0.753740802931165
NUSAP1	0.350062091657719	0.32200940821522	-0.800714471286836
MGP	-0.278836281247662	-0.566651076639676	0.81433690031071
RAN	0.139768969397097	0.40199903000138	-0.343431744125021
TARS	0.255443932907712	0.167916678183002	-0.340306384973875
CKS1B	0.305937179323102	0.364387796480097	-0.479539744977231
PCNA	0.177356316425256	0.262326479051774	-0.291244327251621
H2AFZ	0.241225034302307	0.222869652765373	-0.404188943841005
SNRPD1	0.112122188736231	0.355087043806146	-0.272379932413388
WDR12	0.145729079712986	0.468795702802114	-0.315974037985412
FCGBP	0.441254821549754	-0.668554607819857	1.16623489932573
FOXM1	0.320765841195831	0.376401966785587	-1.24570167880387
HLA-DPB1	0.0167700568391107	-1.34374939811183	0.461080964624973
KIF11	0.38379441732336	0.476847950384595	-0.791656851829087
XPOT	0.142565870654095	0.402553508528003	-0.290186051540476
DNAJC10	-0.036696908143954	0.542995713651585	-0.185120138752285
CLEC3B	-0.572788498148843	0.0862940189449514	0.659973342625529
DNAJC9	0.252771073436078	0.232963849101356	-0.335341870329348
EZH2	0.148076567740961	0.0688939122204143	-0.830145971235494
KIF14	0.325973987105629	0.413644057473972	-0.579067702520329
CLDN18	-0.673301057259979	-0.288908369992797	1.65641375822638
GTPBP4	0.00733318241001325	0.349199314634232	-0.314548380568406
RAD51AP1	0.590079687568199	0.504189253717797	-0.705329918940487
SLC27A3	-0.091727393584545	-0.304555902238728	0.466655405564998
CCNA2	0.59650278509769	0.465075460925055	-0.889575063234259
EMP2	-0.0935027403403496	-0.225452490334739	0.58442969345883
MGLL	-0.261380221053547	-0.63876953129983	0.542591368593772
MRPL13	0.276485952146837	0.278722720453664	-0.185303366312116
ABCA3	-0.856935862670333	-0.482575561490731	0.854152948742168
MMP12	0.846022771266928	0.271885345694285	-0.939349934394148
TPRKB	0.124112768751859	0.312192096509342	-0.178334881072094
HLTF	0.226879847269627	0.226206618700066	-0.294775815950662
TTK	0.60655757375681	0.460546454750197	-0.870734749212104
CYP2B7P1	-0.965873426997376	-0.0407509109913905	0.99508509340135
CAPN3	-0.709968257374257	-0.588980388215277	0.329093223888409
HSPE1	0.0300330065615886	0.411229417022683	-0.263044729439411
LTBP2	7.73069106813216e-05	-0.672793555319922	0.494306256244179
GNL3	-0.0116899466920776	0.279521689974411	-0.198021256094084
RRAD	0.160838528187759	-1.18118386623639	0.573340759708383
BZW1	0.240148128514085	0.29966636820259	-0.118635545567726
HAT1	0.195272176555676	0.155364995529138	-0.10066677604669
PFKP	0.15944085834129	0.118630179737633	-0.775388317770338
DUSP4	-0.276009365739958	1.4274252278041	-0.30967574235154
KIF20A	0.399252748744769	0.347177877956725	-0.823676290641033
GCLM	0.294953811716753	0.803220080050156	-0.197753023076046
KCNJ15	-0.307022963641602	-0.233644611881892	0.960918020017394
POSTN	0.596715147822269	-0.237101346345345	-0.622728025378981
TXNRD1	0.177067393929363	1.21250025926471	-0.354815578048117
EEF1E1	-0.0603943031627926	0.40187643977283	-0.157533339488729
COL11A1	1.41004545340457	-0.0520116179265616	-0.733501999699636
CX3CR1	0.334695933896013	-0.211131289624541	0.923678334554428
FKBP3	0.0436852960615321	0.398178971200356	-0.232766328656011
NUP155	0.524924441867067	0.253311743688865	-0.308939851087445
GOLT1B	0.439702891048696	0.245305473221431	-0.150373953269499
YES1	0.106556095136015	0.23641103759652	-0.152798145632412
FXYD1	-0.389843249955586	-0.633639559572286	1.00382057296915
HLA-DRB1	0.193779644637949	-1.27244692317536	0.524193142590766
NUP37	0.216348611475297	0.367191650912789	-0.246512939473092
SNRPG	0.227248927550885	0.40776545313684	-0.112201246244989
HOXD1	0.266543556850964	-0.519619049219623	1.29338805038154
DMBT1	-0.883056186098589	-1.03477831833826	1.32386434597592
OLA1	0.197044000911284	0.326875298586556	-0.0977294115378155
FOXA2	-0.745926888030838	-0.304364411364955	0.683638218119886
AUTS2	-0.219207064360858	-0.589047931680717	0.526215731024274
VCAN	0.595435348179015	-0.0352774743857223	-0.581571309893565
ZC3H15	0.120687276311991	0.296784919154887	-0.154150609642153
DBF4	0.48157684371868	0.263936924472635	-0.395334066677489
MSH2	0.237095266016733	0.268663883300859	-0.181767206433382
MEMO1	0.134721625108441	0.318586603404228	-0.230195054334123
NRAS	0.355797546500119	0.190527949274314	-0.0906694353053649
NME1	0.266266414619919	0.26082383520865	-0.441908156442096
FBLN5	-0.19128266175904	-0.189841058674996	0.58843512007833
CBX7	-0.313512217130202	-0.458348658384966	0.490046376594964
HBA2	-0.122527712917561	-0.0852237362068355	0.533316761576367
STEAP1	0.771952244489756	-0.23309975656732	-0.682798111440511
DARC	-0.454002541032369	-0.579201326731051	0.789629460059075
MRPL15	0.288876625502415	0.395076205412511	-0.224031909854135
TOPBP1	0.245265429517075	0.267350105195916	-0.335248393610663
DNM1L	0.0863037240989534	0.258401440610742	-0.151150842922649
LEPREL1	-0.0766406755724041	0.0176621427932425	0.783897288542233
IARS	0.0975332329030264	0.13180129992308	-0.148122494423148
KIAA0101	0.295298798352505	0.532606175699076	-0.78313470214126
HMGB3	-0.242362221647405	0.84105557921278	-0.581017981406975
