	log2.quantNorm.TPM.centroid
CYP4B1	4.47242408351917
TOP2A	4.70042140689552
MTHFD2	5.54819708044128
CCNB1	4.90176763762417
RRM2	4.25990517535335
PRC1	3.9310598975724
ASPM	2.16141207880992
SFTPC	7.9554697410071
CTSH	8.48230055503951
MAD2L1	4.01526383329461
CEP55	3.52683253654554
ZWINT	4.69109358434445
MELK	3.13457811866513
ECT2	4.16198117243409
ADH1B	3.86260214979156
BUB1B	2.49868207952494
HSD17B6	3.31032848592781
RNASE1	9.47690757427529
RACGAP1	3.87148884380837
CKS2	6.16331254659293
PLOD2	5.01832749764073
GPR116	5.58929908971742
SFTPD	6.69067409809249
MLF1IP	3.46472184435702
SCGB1A1	5.97479658093865
CDKN3	3.71319430318945
MCM6	4.40159155916319
TPX2	4.27120528071897
FOLR1	7.08158782498734
GGH	4.34408921039847
KIF4A	2.53142088844309
PBK	2.63927963477698
PAICS	5.66413919226116
UBE2S	4.43803263726438
SELENBP1	6.83020968137817
PIGR	6.350579457143
TMPRSS2	5.327071141456
CDC20	4.56933067557304
FIGF	1.08541649772796
TYMS	4.69636278861219
MFAP4	5.71538685615694
CCNB2	4.15975188071913
TRIP13	3.50799501820921
SCTR	2.87610571373488
GCH1	3.44647023584017
FMO2	3.17385979116692
AQP1	6.73104608125044
PSMD14	5.96179763569073
DSP	5.54819708044128
CACNA2D2	3.25330117556751
C7	4.22318929023177
CRYM	3.67488883160756
PLLP	4.45849553054892
RFC4	4.08076338889497
SLC34A2	8.83839401366188
TPPP3	5.03752630858761
GREM1	3.75065902398143
C4BPA	6.03143952988117
MRPL42	4.72198887255481
DTL	2.46166370757989
CEBPA	4.28437643102539
UCK2	4.03967184672034
HLA-DMA	7.5988966485956
SULF1	5.19010714132777
HSPD1	7.61313232237476
PFN2	5.88201203796022
HMGB2	6.22992760051833
GINS1	2.61678959387104
SLC7A5	4.90650630665254
KPNA2	6.26000513731875
CFD	4.54297364714296
CYP24A1	3.1341571837191
HLA-DQB1	7.96181372276274
UBE2C	5.81235933999794
CENPF	2.76461813172761
TDG	3.53795699557336
PTGDS	6.4733326703631
NCAPG2	3.56853683808992
NUSAP1	4.12189650243878
MGP	8.63311475054401
RAN	8.18114231578022
TARS	5.64022671259094
CKS1B	6.20959957731168
PCNA	6.54565954002547
H2AFZ	7.90265005962841
SNRPD1	5.16647564526664
WDR12	3.89000399074906
FCGBP	2.27244100233557
FOXM1	3.90923643312587
HLA-DPB1	8.7434597645743
KIF11	3.17139852271531
XPOT	4.96849124021985
DNAJC10	5.51573200292968
CLEC3B	4.30361711171291
DNAJC9	5.07630596853373
EZH2	3.29954843593146
KIF14	1.25115189973586
CLDN18	2.61919418329864
GTPBP4	5.04426427096151
RAD51AP1	2.51510939504708
SLC27A3	4.04004198915583
CCNA2	3.20171728416655
EMP2	5.91793365147843
MGLL	5.98348799792348
MRPL13	5.57202925044148
ABCA3	5.1991572009321
MMP12	3.45386125658433
TPRKB	4.98032743001428
HLTF	3.63982949594582
TTK	2.13949045096527
CYP2B7P1	5.33163500019246
CAPN3	2.65216843595202
HSPE1	7.24851870743446
LTBP2	5.01297487709082
GNL3	5.83412792271297
RRAD	4.13154256799173
BZW1	6.89292890030005
HAT1	5.22695660507318
PFKP	6.16087098989284
DUSP4	3.62926918136684
KIF20A	2.96677762478882
GCLM	3.52221020771859
KCNJ15	3.32946951452378
POSTN	6.57787048192418
TXNRD1	6.42368169710709
EEF1E1	4.5803650082706
COL11A1	2.24740531520532
