	basal	classical	primitive	secretory
MCM10	-0.183652627764054	0.167388935437137	0.305258687990732	-0.326777977821148
MCM3	-0.401818859833739	0.0664481943091147	0.185719195815613	-0.149859842313307
MCM6	-0.17755258489803	0.260363394706583	0.523114323889609	-0.0601812487618609
BUB1	-0.252552430690775	0.204382557410651	0.370875333643519	-0.241385792425509
TIMELESS	-0.44038624714608	0.115343654665102	0.316710514818797	-0.285201929851995
POLA1	-0.297048818437986	0.172851884686582	0.284609599587162	-0.241135665559427
TYMS	-0.152625376782245	0.098825816975467	0.478462099156322	-0.150999655526596
ATIC	-0.126632708312596	0.0292365129481996	0.353402221645575	0.085923892926125
PRIM1	0.0724824605122732	0.392849084487852	0.566090723992223	-0.00875713748532474
CKAP5	-0.330303994069926	0.00046076585056568	0.249990254222729	-0.176634880976076
CDK2	-0.149107050606318	0.163595791883208	0.351656051408156	-0.039568746256197
E2F3	-0.277004663223884	-0.040023775900553	0.488499526799278	-0.0648156184888102
E2F8	-0.136054204128412	-0.0567240609709039	0.413434106996074	-0.285184014775216
CHEK1	-0.116899085807391	0.11441009822594	0.352731125028474	-0.231759878135673
LSM2	0.309855620788652	0.234026314828222	0.585423952748065	0.12737038787714
SNRPA	-0.279028435073989	-0.12416228785726	0.227474238034029	-0.28353041281169
CPSF1	-0.413663623903323	-0.604648281259558	0.0680145388653504	-0.27703379953445
EXOSC5	0.0963768939198305	0.0354835448980039	0.362056780418009	-0.044668276751398
WDR3	0.0583323036950148	0.0737407423691338	0.247948560305196	0.00921670530271401
PTBP2	0.0266464318858009	-0.110699294454794	0.489620603485082	-0.0116450418616642
TRMT11	-0.102652441405793	0.00524741447161111	0.166411688685616	-0.232698950882196
LIG1	-0.239177201603512	-0.192017535836935	0.248717807482535	-0.141963963844841
PARP1	-0.396801782148337	0.0468963483878859	0.247626741080036	-0.0689097018566946
UNG	-0.132604272412095	0.24255169250201	0.348197105596163	-0.228366242790173
SSRP1	-0.241389244911072	-0.011300329493612	0.217999770480719	-0.0225498511718418
RECQL4	-0.432989668606701	-0.252052384774063	0.121736237700252	-0.641152485094726
KIF22	-0.236498600735534	-0.222317082715635	0.381432691745097	-0.263798510223044
FANCA	-0.29102025736507	-0.150563408751467	0.297266955702664	-0.466627980531554
BARD1	0.0590927415818197	0.190625364796494	0.434984990357139	-0.065842439153125
GTF2H4	0.10688312006466	-0.0244581390853573	0.20577269037618	-0.112479087324655
DNMT1	-0.371167736986005	-0.165347783797612	0.108140416562812	-0.219016851160417
BCL2	-0.295773885711541	0.241625135733279	0.572323601309577	0.325346368183969
COX5B	0.0308592260761119	0.344641410594383	0.467972595290243	-0.00259339945159908
NDUFB5	0.0893972873391565	0.742052909381739	0.233825649184882	-0.345803981045368
ATP5G3	-0.0541606294121262	0.287203740279193	0.111314552861718	-0.212891365164681
COX7B	0.14629446781495	0.288230349079884	0.131834310028771	-0.0958137256077327
DLD	-0.0730512608484626	0.306183445353288	0.04070094867079	-0.0515021584678037
SDHD	0.158024361967321	0.352208853761691	0.140261068843938	0.0379438042969277
TXN	-0.457758564172099	1.05519569706578	-0.409077837836035	-0.561391971863218
ATP6V1F	0.0530417850503453	0.191224725307969	0.126611887797978	0.0180014829817852
ODC1	-0.610306959392363	1.4816630445674	0.304394717181088	-0.271480410295764
GSTA4	-0.27848757456311	0.727897347194541	0.177384149885875	-0.668451137714066
GSTM4	-0.487055512291079	1.25760596578026	-0.237368000629224	-0.179486908063886
GSTO1	0.163060628245469	0.640447136296216	-0.0180065355419356	0.16533148969562
GPX2	-1.04431206125425	1.47475090718271	-0.486139488631338	-3.26788168626045
ALDH3A1	-0.856067012019688	2.4156500577558	-1.40470094128567	-2.0730502626326
AKR1C3	-0.830494331068704	2.32003325792609	-0.656657081605617	-1.83763669861714
EPHX1	-0.189754241589681	0.689001677992697	-0.309211032886948	-0.33509496613633
ADH7	-0.846637338982865	2.05829672928267	-2.01591339721098	-2.73352277509554
G6PD	-0.506653573783565	0.987987677930221	-0.0947339045141232	-0.497188067891791
TP63	-0.289150025539903	0.778882887506731	-1.68120779476049	-1.44336838308575
BCL6	-0.103855052454105	0.107107460587186	-0.10508757460435	-0.402438558030144
ABCC5	-0.436310448979436	0.830064990555815	-0.199130314475792	-1.47510358816881
SERPINA1	0.141901557458438	-0.191957082388599	-0.578195351773358	1.46409235583235
C2	0.0712385838465691	-0.0773041219404815	-0.220035042813693	1.07443261224898
C5	-0.2140961342926	0.252724352394947	0.101492002265941	0.213295224096789
VAV1	-0.0547345192667398	-0.235380632511187	0.0622298220436761	0.781783651917685
GZMB	0.16008017240172	0.0128503682485163	-0.129978210118736	0.884218892068765
ITGAM	-0.0372576864390207	-0.190333096725119	-0.281822108958356	1.04850260026008
NFKBIE	0.124510927941115	-0.199932329320805	-0.128195717467868	0.554907596195286
ARHGDIB	0.281749493212691	-0.274084965313812	-0.326651845703341	0.915309122476253
TNFRSF14	0.115828878853791	-0.506555006640423	-0.548825876651133	0.443877591030314
HLA-DPA1	-0.0194783349284207	-0.226738936201453	-0.438868094949012	1.31552704782652
IL32	0.382376544179947	-0.516070855813906	-0.469146975994723	1.14020076704399
ALOX5	0.145377653213697	-0.402434662489953	-0.492296469790328	0.895613202382169
AIF1	0.260591593627025	-0.214704133813822	-0.419793070105235	0.920983442517646
DPP4	0.321201876194279	0.128114048251751	0.0591873002926077	0.912352142096425
TCIRG1	-0.126178724277348	-0.651280978095431	-0.566815634553787	0.0786386499500369
TLR2	0.40065448066327	-0.032824487648019	-0.712454144045549	0.481284506313687
TLR4	0.302252862308463	0.148146622013523	0.155840301439443	0.915833837799911
IRF7	-0.0534329797797796	-0.645584584645588	0.00770648908507838	0.276407546900899
RIPK2	0.0848604473319851	-0.0443729190225643	0.18346498834983	0.596404094066367
CASP1	0.346966583953389	0.0628791816784012	-0.734520073801752	0.398743048879143
RHOA	0.0687357874676226	-0.000820888911150378	0.0231271799040113	0.336407085338785
TGM2	0.149019675611255	-0.457346486762312	-0.387828031500539	1.27407780346716
MYD88	0.0383097607371119	0.0365315609303349	-0.21280270297954	0.43820534416549
APOL3	-0.00792948799140239	-0.339604031807585	-0.437705462142201	0.891439390027846
IRF1	0.212222761378314	-0.0712515539663701	-0.384019454385785	0.814378091948133
C1QA	-0.00509284538196708	-0.276484508050603	-0.290983672815465	1.01054822870146
CSF2RA	0.304823878202368	-0.0855838810283688	-0.274539743505363	1.12024286049227
CSF2RB	0.242243579483457	-0.14315610849469	-0.403702886293027	1.32124614955438
IL3RA	0.101470096975767	-0.212125300681671	-0.251751507844975	0.6351452001974
DPYD	0.611318376823535	-0.389033923089046	-0.289441952206816	0.557368800145306
SOAT1	-0.134988396344868	0.0636769312586127	0.206146301813209	0.282005833625525
TCN2	0.0665558973003495	0.137058445216409	-0.136777279444041	0.599265686840371
ITGB4	-0.0763479826285511	-0.385745627276533	-1.36923337750678	-0.472085317883258
LAMB3	-0.0998322393112127	-0.306889599463614	-1.47096360366858	-0.492326155697185
COL11A1	0.489234804828566	0.0692028395273197	-0.435465041873879	0.94317921466784
COL17A1	0.046022711899581	-0.502015432740124	-2.30022656279641	-0.743580914787425
LAMC2	0.628632493064531	-0.242475780470179	-1.61132911986546	0.118572261882185
RAC1	0.21030733818719	-0.0729372686612466	-0.100822997382591	-0.00993815944739288
ACTN1	0.107417875682587	-0.303808366761128	-0.478089778063461	0.30470561661048
PGF	0.580329856279208	0.00990279579175611	-0.658267134733238	-0.22460697467099
ITGB5	0.148290012955558	-0.134389709279943	-0.304781253835923	0.0573956923859172
TNFAIP6	0.64426485737036	-0.120806519361719	-0.406809622703106	0.801757374048439
CLDN1	0.637997847268832	-0.210866634344044	-1.23457795662168	-0.171140769443676
HES1	0.285691490910505	-0.217443456303848	-0.241266527436947	-0.371526645680793
CLSTN1	0.0869223654103801	-0.237032991920033	-0.492819459766338	-0.306984204553407
GJB5	0.889998596824704	0.202034845108517	-1.5318705555065	-0.627856981196845
S100A7	2.15950708726731	-0.169639267587782	-2.10357094601803	0.691809286542842
KRT5	0.22512496687487	0.0465029681123934	-3.07281310328639	-1.51914233371748
FABP5	1.64682049209762	0.0985039867113196	-0.687455413936888	-0.625783462984282
TCN1	2.48365095381177	0.586183674659978	-0.439542674653231	0.307968379889848
MMP3	0.700438971307114	0.438931034226517	-0.703317889594942	0.527566287791963
