	log2.quantNorm.TPM.centroid
MCM10	2.5795311225986
MCM3	5.93758568437577
MCM6	4.86080243433527
BUB1	4.07409264048385
TIMELESS	4.41231680787148
POLA1	2.92743570355923
TYMS	5.49863798131335
ATIC	5.8806380223002
PRIM1	3.80207531446498
CKAP5	5.43380874429771
CDK2	5.03617844900875
E2F3	3.24440577614147
E2F8	2.01201401422815
CHEK1	3.97502205735824
LSM2	6.30326439010163
SNRPA	6.35890855561177
CPSF1	5.20918507739053
EXOSC5	5.47463721476905
WDR3	4.23292471513847
PTBP2	2.87698442679321
TRMT11	3.29074832508266
LIG1	4.40083367907479
PARP1	6.33857024583887
UNG	5.70551047015976
SSRP1	6.84994923449892
RECQL4	3.7274303994409
KIF22	6.12154802192103
FANCA	3.47788840663994
BARD1	2.0473862242229
GTF2H4	4.6164271009106
DNMT1	5.083123143791
BCL2	2.15868376232904
COX5B	8.5895226931912
NDUFB5	7.28640990377906
ATP5G3	6.86724537507024
COX7B	8.64996028519123
DLD	5.15146229704775
SDHD	6.6422383103438
TXN	9.62676272114324
ATP6V1F	8.17359819186944
ODC1	7.49074981436801
GSTA4	5.4931807265053
GSTM4	4.80070010840589
GSTO1	7.75732333214516
GPX2	8.03073278703229
ALDH3A1	5.84481697081041
AKR1C3	7.38540083692143
EPHX1	7.04594309173958
ADH7	5.12581060255023
G6PD	6.44037487166888
TP63	7.09582106533593
BCL6	5.19200592391818
ABCC5	6.26697763829024
SERPINA1	6.4187907208449
C2	4.91252580311705
C5	1.28205127777097
VAV1	2.84024648601931
GZMB	3.94139745048912
ITGAM	2.69618705005936
NFKBIE	3.66320455614268
ARHGDIB	6.98763352209853
TNFRSF14	4.95407716678008
HLA-DPA1	7.99410617734489
IL32	6.54139759404201
ALOX5	3.59783624723743
AIF1	5.71228349286103
DPP4	2.01201401422815
TCIRG1	5.60846035210135
TLR2	3.90627780098855
TLR4	2.02665525151907
IRF7	4.15714398367035
RIPK2	3.66735853587504
CASP1	5.06724245476309
RHOA	8.16978322965148
TGM2	5.91167049248836
MYD88	4.97375406863015
APOL3	3.89223168917767
IRF1	5.38186718587245
C1QA	7.23260607914689
CSF2RA	2.39503509731262
CSF2RB	2.37287968282985
IL3RA	2.5210557637042
DPYD	3.10872148619388
SOAT1	4.20110373016808
TCN2	4.89190761780746
ITGB4	6.86193055830849
LAMB3	7.20995529718718
COL11A1	2.86180076721868
COL17A1	6.70712579698111
LAMC2	6.43840647264832
RAC1	7.51913613671672
ACTN1	6.48542006452139
PGF	4.55633253764681
ITGB5	6.62867139582362
TNFAIP6	3.26944284958438
CLDN1	7.33119374146469
HES1	5.93900225600832
CLSTN1	7.19451063972059
GJB5	5.15146229704775
S100A7	4.94972914684919
KRT5	11.407915662905
FABP5	6.16411750125072
TCN1	0.929994323872185
MMP3	2.183758671429
