	S1	S2	S3
A2ML1	0.192337627817417	0.0643576931428381	0.202798249020011
ABCA8	-0.00887906911177218	-0.216357768620756	0.35926897052952
ABCC3	-0.531060542669545	-0.039162826315503	0.365220142843074
ABCC6	0.292641244544733	-0.270846037583676	0.420093233768483
ABO	0.337946162166673	0.0203442491814325	0.821226973376093
ACER1	0.41887060452509	-0.107626568799294	0.480657407216334
ACOT11	-0.241501654257655	0.0059466915772833	0.332173575705296
ACOX2	-0.115949578364032	-0.412205788226069	0.486992255844306
ACSBG1	-0.0128671891764096	-0.00207322880446978	0.121143091301201
ACSF2	-0.259099960882031	-0.625772263537934	0.387419924943469
ACSS3	-0.0118510339786447	-0.260370277486415	0.499279009085405
ACTA2	-0.42100821879704	-0.614464135983421	0.395721720917654
ACTC1	0.511763140107795	-0.663172628794089	0.658070268610525
ACTG2	-0.558863926725376	-0.877597282546779	0.522201592602269
ADAD2	-0.00206318895894637	-0.0316346583973009	0.0741377336726362
ADAM28	-0.0697686890457029	0.113080052180332	0.484343886144172
ADAM33	-0.125787603386371	-0.406410356685424	0.0698956896511864
ADCY5	-0.0122778075893875	-0.140545960167946	0.589756844440841
ADORA2B	-0.0147517728281444	0.016440228545642	0.274576792152977
ADRA1A	0.209922618617829	-0.0752926667357024	0.513178325142222
ADRA1D	0.336129942754875	-0.212463431618562	0.395592975990795
ADRA2C	-0.321910214600207	-0.0358738341623804	0.273802169846076
AFAP1L2	-0.0875414406313644	-0.363876135213514	0.561083711028471
AHNAK2	-0.064320050518717	-0.135035187916202	0.469816278121585
AIFM3	-0.0463247394401873	0.0240067540454586	0.132607893068141
AIM1L	0.0197620896690079	-0.00260100734032126	0.145854580253115
AJAP1	-0.0516686006753669	-0.0352017112407445	0.140577242268412
ALDH1A2	-0.105181339437821	-0.559649600357641	0.466362306489721
ALDH1L1	-0.677046490467637	0.117473304228998	0.133568079717514
ALDH3A1	-0.115932964393881	-0.129914701523955	0.477986051600109
ALOX12P2	0.294183844790714	0.0942888152601902	0.314094761095175
ALOX15B	1.16974415233864	-3.09525319338476	0.0662195422297417
AMICA1	-0.177790622995986	-0.278353830713076	0.285446002690575
AMN	-0.00888386557202459	-0.0106986783905911	0.0680162544352497
AMT	-0.184195125742105	-0.521263338162431	0.383483192824912
ANGPT1	-0.0129619036383185	-0.340810441676338	0.599443226925031
ANGPTL1	0.222342752437583	-0.15853669575053	0.336319406657856
ANGPTL4	-0.167207202993839	-0.510454781535548	0.467716316614288
ANKRD35	-0.187050444760794	-0.346385804306543	0.282325473609519
ANKRD53	0.0245154046033396	-0.141145678341486	0.147154773735175
ANO4	0.408235838365982	-0.355432017763894	0.405442299784481
ANO5	0.0160836213369398	-0.108201465824047	0.421669629647195
ANO9	-0.275838939458029	-0.0732523950367659	0.170060556266783
ANPEP	0.801247183022708	-2.79011305717887	0.829599964130414
ANXA8L2	-0.37795785773583	-0.0345016350513154	0.49358791326535
ANXA8	-0.55112971510787	-0.157712625109282	0.779429670588436
AOC3	-0.211029092427249	-0.408837245841149	0.49444504279486
AOX1	-0.112032820038575	-0.505502199114263	0.87510782917702
APCDD1L	0.00214678037420244	0.00279240630047003	0.119923322746414
APOBEC3C	-0.354961995647697	-0.390516035334535	1.01688528476872
APOBEC3D	-0.189423428539423	-0.119663467044158	0.391966917334706
APOBEC3F	-0.482298911064559	-0.164934852535063	0.0798020324563866
APOBEC3G	-0.32516035927914	-0.302567216181733	0.544580977962076
AQP5	0.159378378542249	-0.0414445244399391	0.242401593943909
AREG	0.314201300712687	0.00330062109217908	0.489762311928329
ARHGAP20	0.0316515649455322	-0.0549240289256613	0.45276619040651
ARHGAP22	-0.19127773990995	-0.140736696239443	0.218585862137222
ARHGAP23	-0.122629317579202	-0.259617097128919	0.535330391138206
ARL4D	-0.126526385083203	-0.301689374406649	0.341703828216041
ARMCX1	-0.234748112166279	-0.381215708190157	0.674524813926968
ART5	-0.0255195634309226	-0.0652477141344257	0.150569768961368
ASB2	-0.144742873492774	-0.492919835010617	0.360013514894767
ASCL2	-0.0810178558552325	0.21535709131436	0.47093847095125
ASPA	0.0806929080936998	-0.182024784736753	0.275623356613825
ASXL3	0.0128983140777592	-0.0201948492672284	0.160537874892588
ATAD3C	-0.0218396166519717	-0.0977340750295381	0.214589651318961
ATCAY	-0.104925333638144	-0.126683490185237	0.406044374208247
ATOH8	-0.177503926696978	-0.324924025460065	0.339419776289872
ATP1A2	0.00273524375453316	-0.733204051346278	0.532939207398146
ATP2B4	-0.219883263522436	-0.401711967389061	0.734872701822367
ATP6V0A4	0.0874785722660732	0.0234261039343511	0.368081114019414
ATP6V0D2	0.0650324428963537	-0.0233352868062076	0.342269551583037
AVPI1	-0.215035010964531	-0.411990683386637	0.465871125707048
AZGP1	0.220666734342778	-1.91050347469933	0.272343969964042
B3GALT2	0.111564883567966	-0.159391795743978	0.402129268565408
B3GNT3	0.201781254821624	-0.0827183199358383	0.536585809548538
B3GNT8	-0.158185844173601	-0.211320390053227	0.425127619038544
BAI3	0.0448613805611395	-0.0231126362109871	0.0859465749446989
BCL11A	-0.497233353616642	-0.122111996802272	0.406967994281325
BCL11B	-0.0246501254243492	-0.00213394010011176	0.185138611068556
BCL2	-0.126473574751996	-0.33962648053892	0.467801502975593
BDNF	0.0624938396894887	0.056691791488977	0.207075125485601
BEND5	-0.182904077314137	-0.233194821402918	0.1951734662796
BEX1	-0.118456856448729	-0.261105614782351	0.792114590887252
BHMT2	-0.0758809510108179	-0.281739422320762	0.2801052811236
BMP3	-0.0139205408357757	0.0338965144901438	0.356885697780054
BMP7	-0.622654692577843	0.262343303972674	0.376209359442489
BNC1	-0.0311498051099503	-0.00169126055935315	0.171234934196137
BNIPL	-0.0224224539514932	-0.236883763926066	0.794107735476227
C10ORF55	-0.0217909528712092	-0.0238820126780868	0.0609863848851856
C10ORF82	-0.0150986140188244	-0.0417272410587619	0.412928649165307
C10ORF99	0.044890815276733	0.0405850795178263	0.286577131011921
C11ORF45	-0.103286069544412	-0.0327754417374498	0.239709150212161
C11ORF70	-0.22167116383229	0.210921506171896	0.193002159144487
C12ORF54	-0.0427170295218666	-0.00279084700742251	0.110098145749837
C14ORF64	-0.0199976464205965	-0.0493916546990841	0.0890033608054283
C16ORF74	-0.128556838534857	-0.372132715503836	0.38189297679218
C16ORF89	-0.280799060778439	-0.18901291893979	0.401058965582568
C19ORF33	-0.509934580132961	-0.134279079378648	0.457670202042186
C1ORF106	-0.289907974532809	-0.305750235392584	0.626327691598868
C1ORF95	-0.0072929723897826	0.112231040328787	0.371762579598979
C22ORF42	0.0843160902293349	0.45439502366124	0.713406024839425
C2ORF88	0.0787583932931321	-0.212805285170602	0.490536585367702
C3ORF70	0.0264531788118158	-0.375147852944995	0.338057643616417
C3	-0.329612242544239	-0.193301758065397	0.666391694306644
C4ORF19	-0.235072206140188	0.353859157218729	0.450389614561269
C6ORF123	0.0310626177296945	-0.049356381587928	0.233937065799819
C7	-0.0254603574042967	-0.509371496351758	0.424933916676537
CA11	-0.228715820747545	-0.348571329835208	0.310370306700319
CA14	0.0887380425933101	-0.103852343531998	0.70353215843658
CABP1	0.0115873988976421	-0.165241538182184	0.108366477526792
CACHD1	-0.17820460749663	-0.271392961105496	0.386362374355247
CACNA1B	-0.0497827693334291	0.514353174225418	0.215694166563018
CACNA2D3	0.0640004886003009	-0.0404012338232623	0.10543874559243
CACNG4	0.319584603064006	-1.00918312412683	0.708303992066824
CADM3	-0.0554544375584304	-0.0122705733111173	0.185160967287011
CALCA	-0.570485579410129	-0.00545773701087857	0.611996935691638
CALML3	-0.341538801039733	-0.359001731998716	0.735317509336031
CAPG	-0.359640994711697	-0.644443359799459	0.554645098657708
CAPN13	-0.374307967873802	0.234688806395104	0.26813705921299
CAPN6	-0.0909634134739445	-0.138743499463912	0.789535221996948
CAPN8	-0.0303275738971833	0.102990239384331	0.281081398236058
CAPNS2	-0.0632835922375931	-0.100419866162898	0.737341140836093
CARTPT	0.314937579318027	-0.0876129138604589	0.888270099444389
CASP1	-0.254977005320543	-0.283653459996307	0.430028972216076
CAV1	-0.122579207430881	-0.597256367388339	0.519870775912318
CAV2	-0.141694210273624	-0.384663948559691	0.425491831236035
CCBE1	0.181553448844819	-0.0929816329693674	0.293740106509603
CCDC60	-0.00269543477457009	-0.179524187072283	0.281106510879031
CCDC68	-0.00475701940128283	-0.180505369360973	0.376619880232629
CCDC85A	0.103694127490374	-0.0659754296354488	0.21278723812137
CCDC8	-0.136352464751545	-0.323411449474399	0.485735011571588
CCK	0.45769031840177	-1.21580926985578	1.26846929116311
CCL20	0.0339843300390635	0.286287721640535	0.712774006268789
