	immune	keratin	MITF-low
CD2	1.24906435663106	-1.01453981291402	-1.37993421677277
CD3E	1.3478338554089	-1.02831795930438	-1.47568209962985
CD3D	1.29934875513938	-1.13014706732683	-1.55404549692468
CD3G	1.15788995956158	-0.668493549067765	-0.690960066535938
CD6	0.996030881157159	-0.58652209965438	-0.912712616980498
CD7	1.21260565053428	-0.809274531866384	-1.22580964894433
CD8A	1.41946673364917	-0.964449067694936	-1.06715271621686
CD8B	1.25963089126223	-0.896179071384816	-1.10093505731333
CD19	1.45673611301995	-0.31440150403016	-0.383738452466589
CD79A	1.76089298102292	-0.919569593689318	-1.4722425155445
CD79B	1.03420238313988	-0.264469819805538	-0.917943399909765
NKG7	1.35173724037752	-0.973097972334008	-1.30616971018317
KLRD1	0.688864609268367	-0.403272832289419	-0.353996947677689
KLRC1	0.548333359025099	-0.198056934733509	-0.108829999148681
KIR2DL4	0.638894458594926	-0.184737992182894	-0.321595793865228
CD38	1.23175401932772	-1.03425819006237	-0.608331984675335
SH2D1A	1.06412789095483	-0.685075293926283	-0.615443188794153
TIGIT	1.15732604620965	-0.876496374675624	-0.943895579281641
PTPRCAP	1.26101572100913	-0.997667900702958	-1.41573273747275
LAX1	0.966447627200946	-0.418860039326128	-0.382794982473232
SPIB	1.22695587483659	-0.303799253445334	-0.562537442533819
SLAMF1	1.17064601012722	-0.465877027248479	-0.337135830820809
TCL1A	1.42642592995791	-0.343078303340623	-0.255368792634029
TRAT1	0.971887637253784	-0.521086595607614	-0.481243601143501
THEMIS	0.751754840519214	-0.326665720531675	-0.222926396759319
LCK	1.24160305487748	-0.873517701676633	-1.15288548218226
SIT1	1.15107598130976	-0.710799018471409	-1.0610679333396
HSH2D	0.972452026458218	-0.404193328040625	-0.684371297195943
ITK	0.86234895247274	-0.429681494693084	-0.874041006705583
PTPRC	1.45993068263583	-0.997877985108382	-0.529564473852397
ZAP70	0.897538964381408	-0.529844868386182	-1.16912335910782
CRTAM	0.882243605822837	-0.407588576734776	-0.323157475256808
TIMD4	0.897434226667225	-0.237678824191141	-0.15551317002273
SIRPG	1.1554835356746	-0.784872658059331	-1.12763977204134
SLA2	0.904505883017132	-0.522221772960291	-0.741167062112172
TBX21	0.698281492591137	-0.414252096480457	-0.547039867061673
RHOH	1.13348606459045	-0.691254694430545	-0.739380849463269
POU2AF1	1.47011640367698	-0.684969524613147	-0.906879682271269
BLK	0.972044310507207	-0.184941533283706	-0.377166899542817
PAX5	1.01059924764165	-0.0750820697083235	-0.075054302771444
BANK1	1.1257267652657	-0.205445162561184	-0.142905254127312
STAP1	1.09516827333086	-0.208330878540145	-0.148733885564316
IKZF3	1.0926101571177	-0.409292360784402	-0.33958363551796
TNFRSF17	1.30825691275887	-0.434744411952897	-0.587682585637128
MS4A1	1.6597467242708	-0.483632285526434	-0.399649984342106
AIM2	1.02035782636015	-0.683899841107256	0.592614726134928
SKAP1	0.934840302200542	-0.910396438609877	0.143796040082006
IFI27	0.690905231457591	-0.570184012498623	-1.85238081158576
NLRP2	0.429475415713636	0.28984394021265	-0.0314393456031636
ZBP1	0.847972620882184	-0.510583280800067	-0.701925952092007
GZMA	1.26530365716733	-0.901027004310921	-1.03628153140084
GZMB	1.25745068567704	-0.635738226055075	-1.14436631238482
GZMH	1.04228170508823	-0.55137939932326	-1.02445973368683
GZMK	1.47644793124556	-1.06840967547204	-1.08765297331852
MMP12	0.899457868985145	0.0228766504469411	0.25282012138917
HAMP	0.928613315058049	-0.705938915211545	-0.412097361802434
ERAP2	0.525330696676467	-0.558417955815215	-0.672001832778165
MARCO	0.945775683993893	-0.359195603670654	-0.348641081973128
GBP5	1.44287588859752	-0.94302029286846	-0.898821856671109
SLAMF6	1.15560280958485	-0.742086167971452	-0.885986458396131
KLRK1	0.893775048305639	-0.988765857621915	-0.60546776018719
SLAMF7	0.92770423754689	-0.790179262533061	-1.84229466655307
CHI3L1	0.735408059987469	-0.559096167462975	-0.170362375730772
TNFRSF9	0.933947874570224	-0.58924544248859	-0.335405025658245
