	log2.quantNorm.TPM.centroid
CD2	3.55958073313602
CD3E	3.92845768718408
CD3D	3.67790137493829
CD3G	1.57272401831963
CD6	2.2511676581048
CD7	3.30214410641475
CD8A	3.10553944299424
CD8B	2.52228370883108
CD19	0.759279903398719
CD79A	3.03838938457826
CD79B	3.14140501897044
NKG7	4.2623581816734
KLRD1	0.971141316589911
KLRC1	0.515919747896516
KIR2DL4	0.824095826498817
CD38	2.32092180104726
SH2D1A	1.52480214202897
TIGIT	2.24043425446707
PTPRCAP	4.30682506878867
LAX1	0.952871427914575
SPIB	1.37839555653505
SLAMF1	1.40242907962868
TCL1A	0.92100880371447
TRAT1	0.985083710018692
THEMIS	0.638697569400362
LCK	2.84856492552253
SIT1	2.2634111619878
HSH2D	1.48222977889335
ITK	1.65629484947927
PTPRC	3.12331366080865
ZAP70	2.44548393042214
CRTAM	1.09378129330503
TIMD4	0.569776931020328
SIRPG	2.24123658308648
SLA2	1.60259638953939
TBX21	1.12712166845278
RHOH	1.91440754968714
POU2AF1	1.84937475513322
BLK	0.654649569031494
PAX5	0.335326999716308
BANK1	0.545044703243279
STAP1	0.479261419604719
IKZF3	0.976986998844153
TNFRSF17	1.09927718372428
MS4A1	0.960345171080915
AIM2	2.48219999379951
SKAP1	2.22085582476031
IFI27	8.51230406927487
NLRP2	0.757524403818158
ZBP1	1.36005308949232
GZMA	3.33681199774258
GZMB	3.18412318210398
GZMH	2.52994185304659
GZMK	3.00374851409529
MMP12	0.943754941499613
HAMP	2.57511688110095
ERAP2	3.30612056399533
MARCO	2.28936078472824
GBP5	2.79920189179323
SLAMF6	2.0182114047656
KLRK1	2.47120541986505
SLAMF7	3.96189844099106
CHI3L1	3.88408824170977
TNFRSF9	1.21070209050554
CD27	3.59270756166633
PDCD1	1.9755071521873
CD274	1.66789327976636
LAG3	2.81826981474806
BTLA	0.699115191693399
IFNG	0.793384185458428
CXCL9	4.73758724116511
CXCL10	4.52028435649317
CXCL11	2.31778793357303
CXCL13	3.52798591539652
CCL7	0.702764013352165
CCL19	4.02246944695668
CCL21	3.61242379525211
XCL1	0.93989126171866
XCL2	1.76404510189962
CCR4	0.750535848375792
CXCR3	2.41857281939884
CXCR5	0.703223670275871
DARC	3.05840261003904
IL7R	1.5185223302861
IL21R	1.78463493802132
IL22RA2	0.0576851802454025
MAGEA1	0.545049267106747
MAGEA4	0.14200226460486
MAGEA10	0.15829403722395
MAGEA11	0.116446879544909
MAGEB2	0.0681762055987639
MAGEC1	0.730495981917199
MAGEC2	1.7937233519866
CTAG1B	0.533041626909708
CTAG2	0.419119344261531
OCA2	1.22367881238623
DCT	6.59259698651756
CDH1	5.23832688099386
CDH3	4.34068159327008
CDH7	0.0960671585371263
DAPL1	1.14670095154842
GABRA5	0.0803293898963362
GABRB3	0.589435039293542
ADCY2	0.798789205650344
GNAL	1.34537259593519
BRSK2	1.33968432605283
CNTFR	0.664662342743659
BCAN	3.97907186536921
SHANK1	0.313861504168539
SNAP25	0.638708754748657
BEX1	0.720205034261672
SNCB	0.920188178677285
CHRNA7	0.436953618178803
HAP1	0.339861590576234
AP3B2	1.15980095575674
VSNL1	0.386461639689935
POU3F1	1.93277734156725
POU4F1	0.439664744383051
DPYSL4	2.45003714159569
DPYSL5	0.0810518729659641
VGF	4.47048871276044
L1CAM	4.83797756024491
EFHD1	3.46530099961403
NKX2-2	0.47504735379924
DLX6	0.778089180067594
SOX1	0.0821174445998246
OLFM1	2.67375605393169
NTN1	0.925909221174966
NEUROG2	0.123481506276091
COBL	1.42673518412709
IRX1	0.550061293935639
IRX2	0.672175924006508
GATA4	0.90065152974683
GATA5	0.0202973417590162
HES2	0.517587908550273
PITX1	0.295685837513875
PITX2	1.36278857475973
ISL1	0.13744281561888
LMX1B	0.690708689375988
FOXF2	2.08561007421919
LHX2	1.53467792719579
KRT1	0.13494168240701
