EntrezID	Gene_symbol
6423	SFRP2
2619	GAS1
1545	CYP1B1
84624	FNDC1
151887	CCDC80
6695	SPOCK1
84666	RETNLB
5549	PRELP
6424	SFRP4
5350	PLN
54829	ASPN
8076	MFAP5
1634	DCN
7058	THBS2
7060	THBS4
9945	GFPT2
10398	MYL9
9353	SLIT2
84525	HOPX
1842	ECM2
6876	TAGLN
1295	COL8A1
5010	CLDN11
4256	MGP
4921	DDR2
2191	FAP
23414	ZFPM2
781	CACNA2D1
81035	COLEC12
1300	COL10A1
8483	CILP
91653	BOC
253827	MSRB3
1809	DPYSL3
140862	ISM1
144165	PRICKLE1
1264	CNN1
84617	TUBB6
5396	PRRX1
11037	STON1
633	BGN
5099	PCDH7
8857	FCGBP
4131	MAP1B
2200	FBN1
1292	COL6A2
115908	CTHRC1
2202	EFEMP1
2192	FBLN1
7077	TIMP2
122786	FRMD6
5740	PTGIS
2167	FABP4
165	AEBP1
8639	AOC3
30008	EFEMP2
27295	PDLIM3
91624	NEXN
81786	TRIM7
730	C7
4286	MITF
710	SERPING1
11031	RAB31
83872	HMCN1
53826	FXYD6
10979	FERMT2
154810	AMOTL1
50863	NTM
3671	ISLR
5654	HTRA1
1410	CRYAB
6678	SPARC
8038	ADAM12
10451	VAV3
5176	SERPINF1
6387	CXCL12
715	C1R
1290	COL5A2
8406	SRPX
4060	LUM
54796	BNC2
1296	COL8A2
8404	SPARCL1
7145	TNS1
9590	AKAP12
1278	COL1A2
116496	FAM129A
50507	NOX4
26353	HSPB8
84168	ANTXR1
3075	CFH
1805	DPT
389136	VGLL3
192134	B3GNT6
143903	LAYN
54587	MXRA8
7291	TWIST1
800	CALD1
25903	OLFML2B
8313	AXIN2
716	C1S
5587	PRKD1
25927	CNRIP1
79745	CLIP4
25878	MXRA5
25925	ZNF521
4211	MEIS1
1289	COL5A1
3357	HTR2B
79901	CYBRD1
4016	LOXL1
10278	EFS
196051	PLPP4
4675	NAP1L3
55076	TMEM45A
51309	ARMCX1
2316	FLNA
10457	GPNMB
10000	AKT3
4969	OGN
430	ASCL2
3479	IGF1
1846	DUSP4
57608	KIAA1462
6935	ZEB1
1687	DFNA5
347	APOD
8630	HSD17B6
56034	PDGFC
79776	ZFHX4
1000	CDH2
91851	CHRDL1
4692	NDN
1462	VCAN
10631	POSTN
2273	FHL1
287	ANK2
4313	MMP2
1306	COL15A1
7325	UBE2E2
1490	CTGF
6422	SFRP1
166336	PRICKLE2
2737	GLI3
25937	WWTR1
85004	RERG
54596	L1TD1
8910	SGCE
23213	SULF1
3554	IL1R1
1293	COL6A3
90102	PHLDB2
9358	ITGBL1
23475	QPRT
83468	GLT8D2
5507	PPP1R3C
25802	LMOD1
8082	SSPN
1009	CDH11
59	ACTA2
4360	MRC1
23111	SPG20
147906	DACT3
1612	DAPK1
56849	TCEAL7
83604	TMEM47
7105	TSPAN6
862	RUNX1T1
10409	BASP1
3491	CYR61
2260	FGFR1
4638	MYLK
23336	SYNM
284119	PTRF
5157	PDGFRL
9935	MAFB
119587	CPXM2
9902	MRC2
2162	F13A1
2908	NR3C1
7020	TFAP2A
1346	COX7A1
5118	PCOLCE
3488	IGFBP5
2069	EREG
28951	TRIB2
4958	OMD
7837	PXDN
240	ALOX5
10082	GPC6
4629	MYH11
84662	GLIS2
4015	LOX
4583	MUC2
26585	GREM1
4212	MEIS2
7373	COL14A1
2213	FCGR2B
1959	EGR2
23022	PALLD
3223	HOXC6
8777	MPDZ
5919	RARRES2
3624	INHBA
7227	TRPS1
4163	MCC
7078	TIMP3
1291	COL6A1
27129	HSPB7
85453	TSPYL5
10516	FBLN5
4628	MYH10
3779	KCNMB1
3956	LGALS1
3678	ITGA5
5178	PEG3
4330	MN1
54894	RNF43
7345	UCHL1
59272	ACE2
3684	ITGAM
83700	JAM3
6347	CCL2
4223	MEOX2
51177	PLEKHO1
7169	TPM2
11228	RASSF8
84898	PLXDC2
8840	WISP1
586	BCAT1
128486	FITM2
2335	FN1
83998	REG4
4935	GPR143
3490	IGFBP7
4644	MYO5A
1056	CEL
6925	TCF4
8434	RECK
4239	MFAP4
1674	DES
26002	MOXD1
7431	VIM
113146	AHNAK2
7220	TRPC1
9839	ZEB2
57198	ATP8B2
7130	TNFAIP6
22873	DZIP1
23452	ANGPTL2
718	C3
5937	RBMS1
1281	COL3A1
57631	LRCH2
123920	CMTM3
2786	GNG4
11326	VSIG4
4883	NPR3
2983	GUCY1B3
7070	THY1
9891	NUAK1
81493	SYNC
1903	S1PR3
10578	GNLY
2791	GNG11
1555	CYP2B6
8884	SLC5A6
10335	MRVI1
10962	MLLT11
6591	SNAI2
27290	SPINK4
253012	HEPACAM2
2982	GUCY1A3
