subclass	gene_symbol
1	GPR98
1	KLHL13
1	ATP7B
1	LIN28B
1	HIST1H4L
1	LGR5
1	TMSL8
1	CPXM1
1	ZNF10
1	CXORF59
1	SOX6
1	ZNF594
1	LRRIQ1
1	DTNA
1	ERBB4
1	CRISPLD1
1	PFKM
1	C7
1	GLT8D3
1	ARMC3
1	BEX1
1	PTBP2
1	FXYD6
1	KNTC1
1	SLC7A3
1	CAPN6
1	BMP7
1	PCDHB6
1	D4S234E
1	IGF2BP2
1	PHC1
1	ZNF423
1	SEMA6D
1	NTF3
1	DNA2L
1	ZFP42
1	FBN2
1	FAM27E3
1	SEMA3E
1	MAP2K6
1	CCDC138
1	ARMC4
1	SALL2
1	STK33
1	SPATS2
1	LRP6
1	SLC5A12
1	MEST
1	EYA4
1	CTNNA2
1	TSPAN7
1	CLDN6
1	NDRG2
1	SLC44A5
1	LAMA1
1	C6ORF170
1	ST6GALNAC3
1	GDF11
1	PEG3
1	ZNF660
1	GPC3
1	C20ORF96
1	ALPL
1	FAM130A2
1	PCDHB11
1	ACTBL1
1	SLC36A4
1	CDC7
1	HELLS
1	PAR5
1	ACVR2B
1	TCTN2
1	CASC1
1	TMEFF1
1	SV2C
1	C3ORF15
1	CBX5
1	SCG5
1	TAS2R43
1	FRAS1
1	SLC4A8
1	MGC24039
1	ZNF334
1	BAMBI
1	SULT1C2
1	ZNF711
1	EPHA7
1	TIMELESS
1	TEX15
1	KLHL23
1	EVI1
1	ADAMTS9
1	LRIG3
1	SLCO1A2
1	FREM2
1	HMGA2
1	SESN3
1	LOC729355
1	ZNF229
1	IFT81
1	LRP4
1	ZNF738
1	KALRN
1	ZNF676
1	IMPG2
1	TUBB2B
1	KC6
1	LOC440905
1	GPR177
1	ZNF99
1	ODC1
1	FLJ13305
1	IQCA
1	SLC26A7
1	ZNF682
1	KIAA1166
1	SPATA17
1	MSI1
1	C1ORF88
1	ITM2C
1	NCAPD2
1	FRZB
1	PEG10
1	USP44
1	DPP10
1	SULT1C4
1	PCDHGB1
1	ANKRD45
1	SLC6A15
1	FBN3
1	ACBD7
1	PDE3A
1	FIGN
1	TCF7L1
1	CCNJ
1	FLRT3
1	LPHN2
1	MCM8
1	C2ORF40
1	AS3MT
1	ZNF780A
1	DACH1
1	CDH2
1	PCDHB2
1	ZNF124
1	PLCB1
1	FGF9
1	PTH2R
1	PCP4
1	C1ORF67
1	KIAA0286
1	TKTL1
1	NPNT
1	ZNF84
1	DNAH7
1	CXXC6
1	PLAC1
1	KIAA0888
