gene_symbol	TCGA-04-1348-01A-01R-1565-13	TCGA-04-1357-01A-01R-1565-13	TCGA-04-1362-01A-01R-1565-13	TCGA-04-1364-01A-01R-1565-13	TCGA-04-1365-01A-01R-1565-13	TCGA-04-1514-01A-01R-1566-13	TCGA-04-1519-01A-01R-1565-13	TCGA-09-0364-01A-02R-1564-13	TCGA-09-0366-01A-01R-1564-13
A1BG	1.83832777480073	1.58704328928872	1.27309928306664	3.09362169558577	0.938785914756302	0.796715274505316	1.56853756769702	2.90672227136798	2.0165223495027
A1CF	0	0.00755088457326581	0.0137969705341233	0	0.00215719776401232	0	0	0.0474029631079749	0
A2M	7.05513924362433	7.74391748563597	6.51830930680259	5.40846527766973	6.62979460826446	6.25045495011745	5.73226268619085	5.00674548622374	7.76818763370671
A2ML1	0.276330619603344	0.92400066130488	0.144429905783265	0.160747777112452	0.142647256427137	0.078793124561798	0.249782931667001	2.67732534271873	0.160220995609319
A4GALT	2.15156888510452	3.48329212095564	4.61364421174292	2.63784576904695	3.07554016122858	1.9095119939865	3.10368965055837	1.65809903386104	4.65240560994671
A4GNT	0.0455627849640625	0.00759095379240963	0	0	0.0539164067801393	0.0397656017280723	0	0.0915378641228189	0.131926170455969
AAAS	6.17886659014682	5.38135155969348	5.47355704899905	5.85221162892819	4.46353025847407	6.35241232001387	5.88132323572019	5.57374442413412	5.6539522510162
AACS	4.67977339422374	2.65786702318946	3.83142835542168	4.26329887568229	4.44805648964064	4.50662923300716	4.81196879774503	4.74118866772839	4.73669740830019
AADAC	1.10217300868219	3.29835141699731	2.31412832542035	0.165387040031352	3.87595105357342	0.045150473835606	2.61149299578468	2.03453091822205	2.41704127287373
AADACL2	0.000620983771456809	0.00763511762310137	0.138950738837184	0	0.00217485866963232	0.000372299429803539	0	0.0407786513378505	0.106685936305829
AADACL3	0.150562276023563	0.425656627889179	0.127545289151951	0	0.0562590242103601	0.000375671432312464	0	0.0147777265102857	0
AADACL4	0.000630260316486838	0.0076571545446757	0	0.0354776200744579	0.031255606660011	0.000379364342224839	0	0.104718151883031	0.384793625560686
AADAT	1.2653846844269	0.709030838987416	2.09645685338109	2.94891252565372	1.29336106633613	3.50298483497208	2.40375144860798	3.27106017494372	0.118913558709851
AAGAB	4.62320200168234	4.11558929937306	4.03189447716154	4.80862084663501	4.97068066777878	4.41806645660241	3.76518782136086	4.93278309433848	4.80196102260405
AAK1	4.98998366332625	4.56736108338549	3.77077514213385	4.48717181886508	4.29380893564929	2.95372340122154	4.9575719875105	3.13832054631156	4.87738254942609
AAMP	7.03078960840941	6.4305400306952	6.65246871208639	6.89703828887124	6.93599358763066	6.59531865713626	6.76918989006193	6.72140820686968	6.7047696224129
AANAT	0.566124637903952	0.605307145895281	0.538806614018518	0.000425625588975539	0.230368796928155	0.399567718894321	0.115111863021269	0.424231256091956	0.831923033874917
AARS	6.52143665018952	5.32054785772339	5.0201078932501	5.53133622936816	5.99736332108509	5.7947280265841	6.52664899778018	6.65932093134708	5.70674022813484
AARS2	3.28392888208085	3.20130670866006	3.42623576630586	3.42779038620516	2.74104430922468	3.38553623274779	2.23614939216873	4.31304772161073	2.99148230038398
AARSD1	3.95728595168631	4.68258734220757	4.42572179659586	4.47669274730127	3.15693065147427	3.72405430032319	3.82883566473514	4.47901644378532	3.78608819284573
AASDH	2.23722258278732	2.17287757929045	2.75263192959882	2.77012581185235	2.38371120357147	2.64979546858449	3.02285087961687	3.05990518297821	2.42416991760106
AASDHPPT	4.66525518085882	4.70568491087146	4.65081165269275	5.14024040723876	3.96429788957026	5.54368270404886	5.50743090836993	4.57208444416304	3.39336910754468
AASS	1.19740307628621	1.30349671017675	1.02421540985672	2.5210557637042	0.335174629304833	2.00807771596472	2.66356391056393	2.70884077122044	0.2193151295588
AATF	5.05282146469217	5.52463699048692	4.93972400544305	5.52743540579874	5.55102867968811	5.779209808355	5.23564550391197	5.44503802815628	4.8718574447074
AATK	0.811136089111109	0.567832887189317	1.5002386292649	0.708543064271685	1.42282556824048	3.68993201813863	0.432793434366555	3.07890968190696	1.38440960655059
ABAT	2.62350614300074	2.46468238025546	1.13352801685735	1.81737644346144	3.90960415590815	3.05140864721214	5.02233807100873	4.26141497376467	1.95874506967899
ABCA1	2.24042699254725	3.07299550252825	3.46005446611801	1.77994675454164	3.09362169558577	2.17287757929045	3.05353452287165	1.55295786888048	3.07596229520428
ABCA10	0.478873983111147	0.584201133951363	1.13528203122519	0.326233245677544	0.222661273419816	0.291842337301489	0	0.379517829515721	0.24783821545012
ABCA11P	2.14828173528024	1.7079240609104	1.7079240609104	3.77638828681913	2.51163653783572	2.38319526825281	2.29094688806796	3.07848533539885	0.943201730693539
ABCA12	0.0217181006349144	0.0670609587735154	0.0177376017296785	0.0142756382993697	0.116514169039684	0.0462281451424835	0.184358251807493	0.0225382061136275	0.106156943668204
ABCA13	0.534286258776349	0.349522900968864	0.398211348268395	0.175705218076639	2.69431213817489	0.194111264976741	0.498341562956354	0.813203033006585	1.00555664549777
ABCA17P	0.383133819286548	1.08195720871975	2.17725256440773	1.09407861490977	0.249536238629044	0.593377580630728	1.74931843721922	1.03159845796965	1.15569289653827
ABCA2	1.62408685373214	3.18165852540448	4.43764722088546	3.88150409343834	3.65680638510592	4.11558929937306	3.93142682830744	3.72517945386308	5.0406785523457
ABCA3	2.89254043669307	3.71731011707544	3.29995264155153	3.00826115887835	1.76110737256247	3.29595894906069	3.60616147936765	4.13561941302204	4.63999499206308
ABCA4	0.77834139917404	0.191890567575201	0.503490605926213	0.133310117841113	0.198809689026461	0.260170219411346	2.27244100233557	1.21804646145801	1.32022413178411
ABCA5	0.673591156794347	1.08080226666483	2.24740531520532	0.542957209719392	0.827224674406598	1.03103377142741	0.702746362803071	0.472758400866583	0.916382933096482
ABCA6	0.340008783218727	0.40263432473753	0.33307618556054	0.139426272479082	0.280283255390225	0.184750133359454	0	0.503490605926213	0.0981857510732664
ABCA7	2.64692229188662	3.00654668108039	3.07637729315694	1.71504067688091	1.01459310379598	1.17383868911694	0.47619211561343	1.30112989142521	4.2007311103113
